date,close,volume,open,high,low
26-03-2019,186.79,49696100,191.664,192.88,184.58
25-03-2019,188.74,43751810,191.51,191.98,186.6
22-03-2019,191.05,42287640,195.34,197.69,190.78
21-03-2019,195.09,50943120,190.02,196.33,189.81
20-03-2019,188.16,31003380,186.23,189.49,184.73
19-03-2019,186.53,31440300,188.35,188.99,185.92
18-03-2019,188.02,26148590,185.8,188.39,185.79
15-03-2019,186.12,39017490,184.85,187.33,183.74
14-03-2019,183.73,23527660,183.9,184.1,182.56
13-03-2019,181.71,30929740,182.25,183.3,180.92
12-03-2019,180.91,32416800,180,182.67,179.37
11-03-2019,178.9,31123000,175.49,179.12,175.35
08-03-2019,172.91,23985960,170.32,173.07,169.5
07-03-2019,172.5,24755470,173.87,174.44,172.02
06-03-2019,174.52,20755140,174.67,175.49,173.94
05-03-2019,175.53,19238480,175.94,176,174.54
04-03-2019,175.85,27413060,175.69,177.75,173.97
01-03-2019,174.97,25737560,174.28,175.15,172.89
28-02-2019,173.15,27953810,174.32,174.91,172.92
27-02-2019,174.87,27817640,173.21,175,172.73
