date,close,volume,open,high,low
26-03-2019,186.79,49696100,191.664,192.88,184.58
25-03-2019,188.74,43751810,191.51,191.98,186.6
22-03-2019,191.05,42287640,195.34,197.69,190.78
21-03-2019,195.09,50943120,190.02,196.33,189.81
20-03-2019,188.16,31003380,186.23,189.49,184.73
19-03-2019,186.53,31440300,188.35,188.99,185.92
18-03-2019,188.02,26148590,185.8,188.39,185.79
15-03-2019,186.12,39017490,184.85,187.33,183.74
14-03-2019,183.73,23527660,183.9,184.1,182.56
13-03-2019,181.71,30929740,182.25,183.3,180.92
12-03-2019,180.91,32416800,180,182.67,179.37
11-03-2019,178.9,31123000,175.49,179.12,175.35
08-03-2019,172.91,23985960,170.32,173.07,169.5
07-03-2019,172.5,24755470,173.87,174.44,172.02
06-03-2019,174.52,20755140,174.67,175.49,173.94
05-03-2019,175.53,19238480,175.94,176,174.54
04-03-2019,175.85,27413060,175.69,177.75,173.97
01-03-2019,174.97,25737560,174.28,175.15,172.89
28-02-2019,173.15,27953810,174.32,174.91,172.92
27-02-2019,174.87,27817640,173.21,175,172.73
26-02-2019,174.33,16991610,173.71,175.3,173.1732
25-02-2019,174.23,21846400,174.16,175.87,173.95
22-02-2019,172.97,18890250,171.58,173,171.38
21-02-2019,171.06,17154540,171.8,172.37,170.3
20-02-2019,172.03,25323890,171.19,173.32,170.99
19-02-2019,170.93,18958570,169.71,171.44,169.49
15-02-2019,170.42,24603320,171.25,171.7,169.75
14-02-2019,170.8,21785180,169.71,171.2615,169.38
13-02-2019,170.18,22389660,171.39,172.48,169.92
12-02-2019,170.89,22224400,170.1,171,169.7
11-02-2019,169.43,20940020,171.05,171.21,169.25
08-02-2019,170.41,23793830,168.99,170.66,168.42
07-02-2019,170.94,31644240,172.4,173.94,170.34
06-02-2019,174.24,28204640,174.65,175.57,172.8531
05-02-2019,174.18,36054570,172.86,175.08,172.3501
04-02-2019,171.25,31384720,167.41,171.655,167.28
01-02-2019,166.52,32644590,166.96,168.98,165.93
31-01-2019,166.44,40613260,166.11,169,164.56
30-01-2019,165.25,60800480,163.25,166.15,160.23
29-01-2019,154.68,39914850,156.25,158.13,154.11
28-01-2019,156.3,26147280,155.79,156.33,153.66
25-01-2019,157.76,33508960,155.48,158.13,154.32
24-01-2019,152.7,25418110,154.11,154.48,151.74
23-01-2019,153.92,23046560,154.15,155.14,151.7
22-01-2019,153.3,30273990,156.41,156.73,152.62
18-01-2019,156.82,33259460,157.5,157.88,155.9806
17-01-2019,155.86,29616190,154.2,157.66,153.26
16-01-2019,154.94,30483120,153.08,155.88,153
15-01-2019,153.07,28449940,150.27,153.39,150.05
14-01-2019,150,32018540,150.85,151.27,149.22
11-01-2019,152.29,26924630,152.88,153.7,151.51
10-01-2019,153.8,35661200,152.5,153.97,150.86
09-01-2019,153.31,45034370,151.29,154.53,149.63
08-01-2019,150.75,40622910,149.56,151.82,148.52
07-01-2019,147.93,54571440,148.7,148.83,145.9
04-01-2019,148.26,57423650,144.53,148.5499,143.8
03-01-2019,142.19,91106840,143.98,145.72,142
02-01-2019,157.92,35637070,154.89,158.85,154.23
31-12-2018,157.74,34499390,158.53,159.36,156.48
28-12-2018,156.23,41740600,157.5,158.52,154.55
